#ID	TYPE	CLASS	INSTANCE_NAME	DESCR	EXT_LINK	COMMENT	TIME	BEGINTERVAL	ENDINTERVAL	N.ANN_DOC.USER	N.ANN_DOC.ALL	HAS_PARTS
PRO56148843147308191	ENTITY	PRO	name and logo of Apple Inc.			CONJ				0	1	
ORG27983043636413206	ENTITY	ORG	Air France		http://dbpedia.org/page/Air_France					0	1	
OTH57305030737240892	EVENT	OTHER	walking S7-SE - (Steve Jobs)	Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket .	walk.01		2007-01-10			1	1	PER19274271332322852_Arg0
OTH40169014343311163	EVENT	OTHER	Seek-EHU	GM seeks bankruptcy protection			2009-06-01			1	1	ORG37406424148086837_Arg0
FIN44159687171187229	ENTITY	FIN	Russell 2000 index	Russell 2000 index	http://dbpedia.org/resource/Russell_2000					0	1	
SPE40001969064580806	EVENT	SPEECH_COGNITIVE	quote VUA	Xinhua quoted Djamal			2007-12-20			0	1	PER27584786801297318_Arg0
OTH39907495151433427	EVENT	OTHER	sign VUA	Air India signed a deal with Boeing			2005-04-27			0	1	ORG27982217241958735_Arg0
ORG19093168857338940	ENTITY	ORGANISATION	apple	apple		centroid entity				0	0	
PRO55735797044138023	ENTITY	PRO	customer service line of Apple	customer service line of Apple						0	1	
FIN47026500320042741	ENTITY	FIN	UAW pay							1	1	
OTH39672032833447690	EVENT	OTHER	display VUA	Singapore Airlines A380						0	1	ORG37154720265874633_Arg0 PRO37154719590532628_Arg1
PRO47185305021151627	ENTITY	PRO	new lineup of Macbook Air laptops							0	1	
SPE39563852478574898	EVENT	SPEECH_COGNITIVE	Warn-EHU	GM Chrysler warned bankruptcy			2009-01-XX			1	1	ORG37406424291734298_Arg0
SPE40785867335956942	EVENT	SPEECH_COGNITIVE	say VUA	Sandy Angers about 737			2008-05-24			0	1	PER39561548434789677_Arg0
OTH39993198838048275	EVENT	OTHER	disaster VUA	2 disasters in Indonesia			2007-XX-XX			0	1	LOC27584739347652867_Argm-LOC
